2025-11-03 14:30:46,406 - INFO - Memulai aplikasi anti-spoofing
2025-11-03 14:30:47,887 - INFO - Stream dimulai
2025-11-03 14:30:51,906 - ERROR - Frame 108: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:51,940 - ERROR - Frame 109: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:51,973 - ERROR - Frame 110: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:52,006 - ERROR - Frame 111: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:52,040 - ERROR - Frame 112: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:52,073 - ERROR - Frame 113: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:52,106 - ERROR - Frame 114: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:52,140 - ERROR - Frame 115: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:52,173 - ERROR - Frame 116: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:52,206 - ERROR - Frame 117: Error saat analisis - Invalid action passed ('spoof')). Valid actions are `emotion`, `age`, `gender`, `race`.
2025-11-03 14:30:52,212 - INFO - Aplikasi dihentikan oleh user
2025-11-03 14:30:52,212 - INFO - Statistik akhir - Total frame: 117, Total deteksi: 0
